"alpha"	"sigmasq.n"	"iter"	"exclu"
6	0.8	4	2639.79227698796
6	0.8	2	2638.44334898549
6	1	4	2369.25033342165
6	1.2	4	2307.33322751735
6	1	2	1926.37030513648
6	1.2	5	1814.12958049884
6	0.8	5	1663.39209172279
6	0.8	3	1630.02611703463
6	1	5	1538.93483503535
6	1.2	2	1415.0031947269
6	0.8	1	1290.86192719231
4	0.8	4	987.470243308512
2	0.8	4	931.301280308227
6	1	1	862.104256071722
2	1	4	740.945617254331
4	0.8	2	736.536535146564
4	0.8	1	727.751161074253
4	1	5	703.913807943958
4	1.2	5	667.710562789175
2	1.2	4	571.755450278512
4	1	2	562.700868075446
4	0.8	5	547.63614310166
4	1.2	1	516.913598167142
6	1	3	489.807224163776
4	1	1	486.05802657787
4	0.8	3	410.870370984068
6	1.2	3	255.54613775232
6	1.2	1	139.838467207322
4	1.2	2	87.4222521477712
4	1.2	3	15.1719334658003
4	1	4	-92.3911878803034
4	1	3	-176.543973985741
4	1.2	4	-279.849678835899
2	1.2	5	-312.447490273734
2	0.8	1	-401.130836043372
2	1	5	-545.077612748817
2	1.2	1	-596.250372776122
2	0.8	5	-611.265323896575
2	1	1	-642.099502781565
2	1	3	-648.83586553308
2	0.8	2	-660.053607144741
2	1	2	-699.316189748701
2	1.2	3	-787.243746620817
2	0.8	3	-859.497154212202
2	1.2	2	-1011.81471602511
