"alpha"	"sigmasq.n"	"iter"	"exclu"
6	1	3	2684.47321302097
6	0.8	4	2585.03613178885
6	0.8	3	2536.64547756582
6	1	4	2320.60745251963
6	1.2	4	2239.33641644253
6	1	2	2201.1356169154
6	1.2	3	2054.2437349171
6	1.2	2	2004.62878562201
6	0.8	2	1840.1922908689
6	1.2	5	1741.28309749762
6	1	5	1633.10092333118
4	0.8	1	1489.28260021228
2	0.8	4	1469.38451004755
4	1.2	1	1463.26639933914
2	1	4	1305.20893731998
6	0.8	5	1282.21442248443
4	0.8	4	1278.52447139211
4	1	1	1249.68454819895
4	1	4	1124.3825666242
4	0.8	3	1033.0261793874
6	1	1	1005.78538907639
4	0.8	5	997.394299746235
6	0.8	1	961.053673853533
4	1.2	4	895.225293287403
4	1	3	882.831641508766
4	1	5	865.631456323166
4	1.2	3	837.538328056105
6	1.2	1	835.563515753432
4	1.2	5	774.182710128187
2	0.8	1	723.343313728779
2	1.2	4	624.770737487182
2	1	1	621.547411581535
4	0.8	2	345.085476697812
4	1	2	303.24860632428
4	1.2	2	198.578315815562
2	1	3	63.3726296855026
2	0.8	5	-156.259942323999
2	0.8	3	-235.14687363936
2	1.2	5	-277.506785056044
2	1	5	-296.968127260797
2	0.8	2	-308.212543115296
2	1.2	3	-333.590228745345
2	1.2	1	-441.136641216429
2	1	2	-648.384721925665
2	1.2	2	-724.693602885009
