"alpha"	"sigmasq.n"	"iter"	"exclu"
6	1.2	5	1909.51517371916
6	1	5	1856.2329779902
6	0.8	4	1821.41410880257
6	1	4	1802.06758043431
6	1.2	2	1635.86171504538
6	0.8	2	1564.71858442911
6	1	2	1563.59572426063
4	1.2	5	1433.63857119908
4	1	5	1410.90917596072
6	1.2	4	1338.35211386766
4	0.8	5	1282.43716553676
6	0.8	5	1245.76423276249
6	1	1	877.746995534162
6	0.8	1	873.274713580332
6	1.2	1	806.320517410724
4	0.8	4	533.0441401762
4	1	4	418.678134701222
4	1.2	4	366.661760315938
6	0.8	3	237.525668662096
6	1	3	144.105002526671
4	0.8	2	111.574377196889
6	1.2	3	91.9119199847162
4	1	2	86.1605305800511
2	0.8	4	84.4332904290232
4	1.2	2	50.0363472617885
2	1	4	43.8773799426304
2	1	1	35.3947206692085
4	0.8	3	25.9925218554018
2	1.2	1	3.62980969361429
2	1.2	4	-11.0720635065584
2	0.8	1	-32.7876316253519
4	0.8	1	-45.788090010896
4	1	3	-58.0830895526795
4	1.2	3	-71.1054534023514
2	0.8	5	-131.623106642395
2	1	5	-160.367874764608
2	0.8	2	-160.425252664259
2	1	2	-162.146796783732
4	1.2	1	-163.909366735172
2	1.2	5	-168.304654363973
4	1	1	-211.190518937766
2	0.8	3	-256.792570406764
2	1.2	2	-293.895209052373
2	1	3	-446.058666153383
2	1.2	3	-539.041178155182
