"alpha"	"sigmasq.n"	"iter"	"exclu"
8	0.7	4	910.230638032058
8	1	1	896.985028868572
6	1	5	871.266736331875
8	1.3	1	869.457518845528
6	0.7	5	846.481315757639
6	1.3	5	815.497325579123
4	0.7	3	814.516290399531
4	1.3	5	705.95582231132
4	0.7	5	699.022595998446
8	1.3	3	689.943210344917
8	1	3	685.872930827662
4	1	5	665.268825768688
8	1.3	4	651.356587685402
8	0.7	3	617.537640677214
8	1	4	605.125976088758
8	0.7	1	422.481721807135
4	0.7	2	372.420108937323
6	1.3	2	335.207154947182
6	0.7	2	327.906056783066
6	1	2	314.336326215355
4	1	3	269.068523527383
4	0.7	4	257.588478958265
4	1	4	247.780499594022
6	0.7	4	235.732465879517
6	1	4	214.401694584696
8	0.7	5	165.670419541244
8	1	5	156.215570452489
6	1.3	4	153.089148092228
4	1	1	143.771026804512
4	0.7	1	113.625955808369
4	1.3	1	111.34673066383
4	1	2	82.6984522865844
4	1.3	4	70.4125295994051
6	1	3	48.79126439031
6	0.7	3	48.2484475988989
4	1.3	2	41.6288558739262
8	0.7	2	34.5942537119073
8	1.3	5	24.1182400611566
8	1	2	-3.42415698285736
6	1.3	3	-14.524115005014
8	1.3	2	-31.6910598291667
6	0.7	1	-61.0021373237272
6	1.3	1	-63.5304978303376
6	1	1	-80.7354746104583
4	1.3	3	-151.772716141282
