"alpha"	"sigmasq.n"	"iter"	"exclu"
8	1.3	2	1572.14976975248
6	1.3	5	1539.24794094514
8	1	2	1531.13702212568
6	1	5	1423.25077530264
8	0.7	4	1390.63509747441
8	1	4	1387.20948358664
6	0.7	5	1370.61040118227
8	1.3	4	1366.23623647374
8	0.7	2	1288.97384188999
8	1	5	1272.92898059499
8	0.7	5	1218.16553346047
8	1.3	5	1193.47089517235
4	0.7	4	924.932095455883
8	1	3	923.30376677502
8	0.7	3	880.299793632898
4	1.3	2	855.441855421278
4	0.7	2	832.254660461166
6	1	3	830.31564157677
6	1.3	1	829.842545983299
8	0.7	1	820.701347954624
6	0.7	3	808.760702506393
8	1.3	3	798.032372881344
6	0.7	1	769.0804569246
4	1	2	767.730166011016
4	0.7	5	757.421723248884
6	1.3	3	756.290657026379
6	1	1	749.381333360337
4	1	5	598.90379786222
4	0.7	1	455.436138746752
4	1.3	5	430.711221949078
4	0.7	3	177.341442844354
6	0.7	2	134.522703837155
6	1	4	127.003800770526
4	1	3	78.579219741744
6	0.7	4	77.750812668866
4	1.3	3	74.4059430440864
4	1	4	0.260230946752128
8	1.3	1	-16.9301189065845
6	1.3	4	-19.826301257271
8	1	1	-25.4432723262218
4	1	1	-45.8088456353788
6	1	2	-72.209893022816
6	1.3	2	-81.3308927476009
4	1.3	4	-82.2407709937249
4	1.3	1	-196.064946135519
