"alpha"	"sigmasq.n"	"iter"	"exclu"
4	1.3	5	647.350847774645
4	1	5	645.871701896798
8	1.3	2	643.942895832879
4	1.3	2	641.818432732185
6	1.3	2	637.156441625893
8	1	2	637.155412843052
4	1	2	637.036611780289
6	1.3	4	636.543180785311
8	1.3	3	635.80112743747
4	0.7	2	633.435322925587
6	1	4	631.656429947241
8	0.7	2	630.107460184268
6	0.7	4	630.031302040963
6	0.7	2	628.477592313619
4	0.7	5	626.97779289219
8	1	3	624.781162059009
6	1	2	620.361272712327
8	0.7	3	616.905539603128
6	0.7	5	163.37925478788
8	0.7	5	161.228907746677
8	0.7	1	158.607998544526
8	1	5	147.042391789259
6	1	5	145.11449722503
8	1	1	145.028210618985
6	0.7	1	142.441749657093
4	1	3	136.903580626066
8	1.3	5	130.15995429138
6	1	1	130.101547328211
8	1	4	129.039691449652
6	1.3	5	127.693683894612
4	0.7	4	127.274834338374
4	1.3	3	126.091771879253
8	1.3	1	124.799750208265
8	0.7	4	121.788030628234
4	0.7	3	121.15180782185
6	1.3	1	115.996816950534
4	1.3	4	115.905771412908
8	1.3	4	115.529280364175
4	1	4	99.6333701217251
4	1.3	1	88.7069582246279
4	1	1	86.5523095258526
4	0.7	1	85.5869248199868
6	1	3	68.99700641168
6	1.3	3	60.3839932116974
6	0.7	3	59.4943619594398
