"alpha"	"sigmasq.n"	"iter"	"exclu"
6	1	5	943.103444479767
6	1	4	936.696185014305
6	1.2	5	934.371835938492
6	1.2	4	932.884739417457
6	0.8	5	929.986835828686
4	0.8	5	267.362507563269
6	1	2	262.936465437764
6	0.8	2	262.786346718639
6	1.2	2	250.463402099344
4	1	5	244.472995072159
4	1.2	5	242.991632920207
4	0.8	4	194.193318568533
4	1	4	182.027437606424
2	0.8	3	172.965401574531
2	0.8	5	170.747719474958
2	1	3	165.575366633052
4	1.2	4	164.930882871319
2	1.2	3	164.489969089492
2	1.2	5	158.700744546672
2	1	5	154.727009054272
2	0.8	4	142.41611219547
2	1	4	140.680004108363
2	1.2	4	134.181499026656
6	0.8	3	100.279064830186
6	1	3	98.7276496645482
6	1	1	94.836702039808
6	1.2	3	92.9322711146648
6	1.2	1	92.3062241995378
4	0.8	3	91.3467760644872
6	0.8	1	90.0009500492466
4	1.2	2	85.9739057573277
4	0.8	2	83.6020625841557
4	1	2	75.9417488553379
4	0.8	1	75.8278062185748
4	1	3	66.9945030351051
4	1	1	60.5366502501328
6	0.8	4	48.1150287736351
4	1.2	1	43.3967553265341
2	0.8	1	37.1109785971507
4	1.2	3	25.3401122876896
2	1	1	19.9237664942925
2	1.2	1	11.4434821169256
2	0.8	2	-52.6289359887711
2	1	2	-134.796475050436
2	1.2	2	-149.921984249444
