"is_test_data","Z1","Z2","Z3"
1,2.08466800211906e-12,0.00159708534058897,4.17655787537627e-19
1,1,7.52422019237351e-29,1
1,7.78102646433364e-17,0.00333345717709828,5.98703047315264e-15
0,1.1004646341631e-17,0.999968868432147,2.17428539692347e-21
1,1.8087007967972e-10,0.921672527971018,2.43116624183242e-16
1,0.999878135796389,0.154928442611047,5.48139409048655e-13
1,1.67590955569654e-19,0.999989347619688,0.999999999999773
1,2.11130440783019e-16,0.028772540539943,2.91739110169457e-19
0,3.41660545373873e-16,0.999851753641222,4.67921566851329e-20
1,1,6.07792887409231e-07,1.3782717012313e-05
1,4.62206445775082e-16,0.998770257535545,1.09001694018764e-15
1,1.04129061689406e-17,0.00825044249425552,1.49869402652529e-15
1,3.17297955360684e-10,0.989601860762706,3.39232332004028e-19
1,2.08803823322733e-15,0.998853817169407,8.27241289859728e-17
1,2.78988781293576e-12,0.949858583936445,2.64206355347177e-14
1,2.07143604510436e-14,0.999770869377584,2.77414070720756e-21
1,0.999999716964855,0.000752873740158798,6.47276132241374e-10
1,1.38025261044748e-11,0.990411177978689,1.07209826179377e-17
1,0.999999973155179,0.0272172318471174,8.66799662131889e-18
1,0.999999999999938,0.90935096722649,2.44644186251814e-14
0,3.12815487946877e-18,0.016745858716476,4.56500692601876e-18
1,7.00889476099854e-13,0.997235532201781,1.91832486311707e-18
0,2.99476993566706e-19,0.999999273921151,0.999998307620647
1,1,0.853915304931131,1.454167224112e-17
0,4.28532621535918e-16,0.999770240788333,3.38824250707482e-19
1,3.54587090780808e-14,0.000758003491062187,1.44673749245637e-15
0,7.11548672547683e-19,0.266378262170194,2.5244117067693e-15
1,4.83819807115583e-14,0.993082807926557,5.20795573064181e-15
1,0.998831598039221,0.999998842191346,1.21063514980189e-21
1,0.0001346415145766,0.998056105847218,0.969187172785334
1,1.69879578379583e-10,0.855264591864347,1.85689497275704e-16
1,6.69050029438521e-14,0.997199624101154,3.8362764201545e-17
1,3.8764965560308e-14,0.00447199423098184,1.73692802741372e-20
0,1.46490335965435e-09,0.971278716523049,1.08059205922968e-17
1,1.72283809161351e-13,0.624843959462806,4.15265754779629e-16
1,5.94136269817412e-13,0.648272805659534,4.69047537722611e-17
1,2.37716872655495e-17,0.99994992649398,1.43076117401439e-20
1,1.25445213612563e-11,0.970536512264704,1.29933263235622e-16
1,9.6065990183772e-14,0.99877895125445,4.92451059360489e-19
1,6.56680457978678e-16,0.999651668615515,1.74716773264166e-18
1,4.57794818155871e-14,0.993792224230453,1.74944646020792e-15
0,8.98292710379621e-14,0.999858233953542,0.999999999989465
1,9.40581512244381e-18,0.999981498923704,2.83202797973805e-22
1,0.99999999998981,0.866496542520846,1.35441810957988e-09
1,5.3974517060022e-14,0.995986159638694,1.00150847969048e-15
1,5.45535234150697e-06,3.29664859945527e-08,7.30473858466278e-06
1,4.71777735443557e-13,0.998918716707997,6.34105614812824e-20
1,4.8260358275418e-16,0.999756429642138,1.01427277962276e-19
1,4.80317125111396e-08,2.86455768660128e-06,4.38895437566208e-12
1,1.33032729676024e-13,0.549740842956633,9.68283612205993e-19
1,1.2592076063729e-09,1.30884379386258e-05,5.26787495494949e-15
1,0.999047006591639,0.00218550634771758,2.25597809482577e-06
1,4.99759843470739e-11,0.000103628753692844,1.68278593748045e-18
1,1.86942217195103e-14,0.999468144157686,9.28306167941675e-20
1,2.86837532614258e-13,0.972805873484546,5.79987188745211e-14
0,1.22210332405426e-12,0.000784758997250957,4.04238339132471e-19
1,2.27007431961847e-12,0.967091421864435,2.62419946879239e-14
0,6.14503507766298e-15,0.999644920612928,2.41230210201404e-20
0,1.88409442125157e-16,0.580782283218356,1.22893226259604e-12
1,1.86170892220706e-14,0.0316961545493583,1.48667423399559e-21
1,1.08987438778649e-10,8.15114142949488e-06,3.72309992201116e-13
1,1,0.962752111226472,0.999999999999999
1,1.91305413582361e-17,0.0439006163528987,6.12862570181339e-20
0,8.65105036454822e-12,0.99528269956933,9.29530151597406e-20
1,2.72720076934408e-13,0.99717472344909,1.01385622005074e-17
1,2.39914298218104e-17,0.999964910114473,6.28292797815724e-21
1,9.22044045648439e-13,0.975863535589245,2.63431897388349e-14
0,2.5240546418492e-15,0.997964046076434,9.49044037226169e-16
1,1,3.64100659956563e-15,1
1,5.30224598615594e-13,0.0015442935074837,1.39499585678765e-19
0,6.19353967472133e-14,0.997548564307789,1.11237494016321e-18
0,1.76081054174828e-12,0.00038388025931701,1.10444654739344e-18
1,1.35024775249371e-08,0.714989113034389,1.88375437098067e-21
1,2.46883085766572e-14,0.999051058311645,7.72631338393125e-19
1,1.01675694991647e-16,0.999897028284291,6.67476885139563e-20
1,1.35612043877179e-16,0.999809671699514,6.08356001134482e-19
0,7.23345689302765e-07,0.867353970244555,6.40113159685583e-21
1,1,0.63215809808485,4.30226265575856e-31
0,5.21098569569712e-17,0.999954082765327,2.19668515360417e-21
1,5.48135870530381e-12,0.996695376711555,1.48236248732315e-19
1,3.93963215135612e-16,0.0511056634192647,1.85522641954826e-21
1,1.29153441708183e-13,0.996661673575348,3.00744755306157e-17
1,4.49315283957927e-10,0.983695920883003,0.999999999999989
1,3.55894390226418e-15,0.00014289952095463,2.35848826218941e-12
1,1.78719753436121e-18,0.144721805390248,1.39461730610797e-17
0,3.02190181046404e-11,0.892396141656219,1.12913625952336e-15
