"is_test_data","Z1","Z2"
1,4.59915023362791e-40,6.8903833258326e-26
0,0.999999999859597,1.02552946749011e-20
1,2.29632086942571e-08,1.06363406978197e-65
0,1,1
1,3.94411151147439e-06,1.6779249954561e-68
1,1,1
0,1,1
1,1,4.7974383877003e-31
0,1,1
1,2.75546947951278e-05,7.04198558487756e-70
1,1.39707602022577e-36,2.77545782458576e-30
0,1,1
1,7.09877371253179e-42,1.81773141436401e-23
1,3.96148567266002e-28,8.07513973858029e-41
1,2.66260670549293e-38,2.52389411020498e-28
1,1.51033632430368e-46,7.70147638880226e-18
1,4.35471347702638e-49,1.75210306337954e-14
1,3.98102052763674e-36,1.77232365047364e-30
1,1,3.46657842343752e-35
1,3.05788237745358e-48,1.60587949201461e-15
1,2.1941103993131e-44,2.37786260718232e-20
1,1,7.80073629298742e-28
1,6.12214082091507e-35,2.83655187950791e-32
1,2.8987722175503e-32,1.1243827396115e-35
0,1,1
1,2.75840778064962e-26,6.74392505156714e-43
0,4.12911850373473e-05,4.17591440177925e-71
0,1,1
1,7.43104959733027e-40,3.01489079323728e-26
0,1,1
1,1,1
1,1,1.76391840812167e-69
1,1,1
0,1,1
1,3.3448532174669e-27,2.90053021280252e-42
0,1,1
1,0.311624699962712,4.95584519569579e-54
0,1,1
0,0.99999999996423,9.96193948996727e-22
1,3.71928978776771e-30,1.01273543759534e-38
0,0.959431474021707,9.19952768314051e-14
0,1,1
1,8.75629432405388e-50,1.62778190980683e-13
1,1.15721049855037e-47,2.77339245442819e-16
0,3.68653803000429e-26,3.00661735937183e-44
0,1,1
1,1,1
1,5.62646956631793e-40,4.73809595746818e-26
1,3.35677479999711e-29,1.39765829562744e-39
1,1,1
0,0.999997004170089,1.1730238752025e-15
1,8.0118139496451e-23,7.82452878225197e-48
0,1,1
1,1,1
0,3.00990506928849e-23,6.48327592976137e-48
1,3.29617102473228e-26,2.7633740323377e-43
1,7.76997377057511e-24,3.67560941614445e-46
0,1.17304580990998e-23,1.60875301015394e-47
0,1,1
1,3.64210084460111e-35,3.44363839343705e-32
0,5.28265722007439e-24,4.42067202872322e-47
0,1,1
0,1,1
1,1.13890369798874e-07,6.25598256672173e-67
0,0.999999999995661,2.44246159924834e-22
1,0.999994760013936,5.38112910314698e-15
1,1.97409157306708e-28,1.45660913116549e-40
1,0.000253650514378383,1.05697348559232e-70
1,1.15283261294372e-48,5.84353973321684e-15
1,5.04056366062357e-41,1.08623176279284e-24
1,1,1
1,6.12905089606066e-19,2.06926097162828e-52
1,1.2476514417891e-38,1.07460237000555e-27
0,1,1
1,1,1
1,1,1.78199759252303e-80
1,1,1
1,7.09272778811367e-28,2.07747615447413e-41
0,1,1.63470276469956e-54
1,2.31227471743391e-40,1.34387297892651e-25
1,1,1
1,4.86650427861637e-46,2.62445234008962e-18
1,1,1
1,1,1
1,2.53276730741055e-51,1.23132353628534e-11
1,1,1
1,2.78653717133567e-27,5.21739276416444e-42
0,1,1
1,1.81997415142683e-16,1.07118203824132e-55
1,3.99994488581821e-42,2.28538084493969e-23
1,5.3306004303146e-13,7.73929868058936e-60
0,1,1
0,1,1
1,1.01234672441548e-30,5.74650956855933e-38
0,1,1
1,1.76632561672538e-44,1.77530511495271e-20
0,1,1
1,1,0.999999999999998
1,1,3.6996954955593e-70
1,3.44362751105359e-38,2.72996295232498e-28
1,3.36539150744746e-44,1.72131394789818e-20
1,0.999993159854339,3.66423716395829e-15
0,1.37943731500701e-20,2.42462351024685e-51
0,3.14596436325655e-22,3.30388829949762e-49
1,0.999999997478883,9.91616310626377e-20
1,2.93511407891946e-48,2.07772244414204e-15
1,1,1
0,1,1
1,4.46254704545601e-45,2.04002630046678e-19
1,1,0.999999999997788
1,7.86832236449017e-40,4.06632262205783e-26
1,3.71161475386512e-42,5.19740817187951e-23
1,1,0.999744843665576
0,1,1
1,9.7501125995404e-45,8.81559308371511e-20
1,5.46344946193329e-43,4.19775112360187e-22
1,2.06355850433441e-39,4.06192776814097e-27
1,4.10019033908945e-20,1.83956356841648e-50
1,7.72791590352977e-30,7.49548024625505e-39
1,2.2752080701612e-40,1.37297432645158e-25
1,1.01842181925843e-48,6.62127220811197e-15
0,1,1
1,2.03945520475362e-35,1.31089882663425e-31
1,1.81056817102747e-42,1.09407831925245e-22
0,1,1
1,1.58494884544246e-44,2.95258922189893e-20
0,0.271666144984709,2.26961535214646e-57
0,1,1
1,1,4.40234602491182e-29
1,3.38551009244085e-36,7.27489551749302e-31
1,1,5.26467437976135e-98
1,3.28213648143787e-48,1.47173369572285e-15
1,1,1
1,7.10295720185453e-37,8.99116808065371e-30
1,1.9912998469919e-36,1.54793961075217e-30
1,9.29693651607099e-38,7.0333163900196e-29
0,3.01101827908411e-17,2.30449076320562e-55
1,1,1
1,2.84849309526039e-39,7.55058570124221e-27
1,1,1
1,9.8702211432917e-39,1.54954283233355e-27
0,1,1
0,1,1
1,3.41431409977981e-43,7.69620791893321e-22
1,6.45006405714767e-21,5.07526082293084e-50
1,1.34167998249625e-46,1.12394879568928e-17
1,1,1
1,2.88530004799432e-44,1.6068258215577e-20
1,1,1
0,1,1
1,1.68371066325e-05,3.11609123295171e-69
0,0.999999999991122,4.47700351634617e-23
1,0.999999998662608,3.18112524508038e-19
0,1,1
1,2.39802357519071e-38,3.50160880100368e-28
1,1,1
1,4.96393466915643e-34,1.79535017998666e-33
1,1,1
1,3.41583037154104e-35,4.86164312887645e-32
1,2.02849466126867e-35,1.47631848929599e-31
1,5.18528221585352e-39,3.89742497807961e-27
1,1,1.82592787861615e-39
1,7.11940078601406e-28,3.1290188273808e-41
0,1,1
1,3.7004140271917e-24,5.52186934576381e-46
0,1,1
0,1,1
1,1.53146301275907e-42,1.75686593549681e-22
1,1.53496481318869e-48,2.64749859543935e-15
0,2.16421901750714e-23,9.04135194740304e-48
0,1,1
0,0.999999886852804,1.48251736917568e-17
0,6.0268795597625e-26,9.4246341135869e-45
1,0.999999839282898,8.38468413978189e-17
1,1.82111549654591e-27,1.42252319494179e-41
1,1.09270325971455e-31,2.42422910179151e-36
1,5.42327290814651e-06,4.26836266861154e-69
1,5.97948806424761e-44,5.02630446408061e-21
0,1.1115423338168e-25,1.81096407527401e-45
0,1,1
1,3.16952951686359e-28,7.57978015717081e-41
0,1,1
1,5.9689014127843e-37,8.83587026910359e-30
0,2.16626214889883e-19,1.2148787477132e-52
1,3.73591813193452e-13,3.15551843910501e-60
1,6.85053612176221e-48,7.04731170123654e-16
1,1.42638427263413e-44,5.00946478240695e-20
1,1.93196593585284e-45,2.8218249048658e-19
1,1,1
1,6.66087000203827e-15,1.86194170942497e-57
0,1,1
1,3.07513665239145e-46,4.16909428847342e-18
0,1,1
0,0.000869508784264242,1.46929359824957e-72
0,1,1
1,2.35294331114044e-39,5.05173109129675e-27
1,1,1
1,1,1
0,1,1
1,3.65144090773238e-43,4.22297491679743e-22
1,3.96150045554059e-24,3.91404337793868e-46
1,6.37325802702019e-31,1.55198345455705e-37
0,1,1
1,1.33951849758132e-49,7.70778131515441e-14
1,8.61337384069682e-29,2.82260657499912e-40
1,1,1
1,9.14205381775405e-29,2.9838235831006e-40
1,1,4.79324360153317e-36
0,1,1
1,6.00724138554369e-36,3.19090401126667e-31
1,1,1
1,1.15819315327287e-48,4.88378161007906e-15
0,1,1
0,1.87460420296124e-26,4.31532765049385e-44
0,1,1
0,1,1
1,4.24181915085853e-47,5.52942017247982e-17
1,7.24528487767772e-49,1.13675218538847e-14
1,1,0.999999999999998
1,1.18217399957745e-46,1.43517500239377e-17
1,2.60151312897392e-48,1.87071516998451e-15
1,2.32704565974641e-20,1.10383075726473e-50
0,6.60055718531781e-24,4.96046291854261e-47
1,2.01969626291159e-22,4.39133489175258e-48
0,1,1
1,3.77521800549105e-40,1.1797704282371e-25
0,1,1
1,2.38927673469842e-40,1.86397364129933e-25
0,1,1
0,1,1
1,1,0.99999999999941
1,8.99165147618656e-32,2.98393840331949e-36
0,1,1
1,0.999999945863987,3.1841686646055e-17
0,1,1
1,4.10340394953532e-51,5.07223658237832e-12
0,1,1
1,1.11471748641086e-48,5.52690398829685e-15
1,5.76962579228804e-37,8.84240826933364e-30
0,1,1
1,6.50067445008526e-45,1.32696511634247e-19
1,3.4292011267912e-34,1.34596497769036e-33
1,1,0.999999838623217
1,1,1
1,5.76065703358995e-40,3.89117151495256e-26
0,1.22368233435387e-11,6.28483468789162e-63
1,1,0.999927399101038
1,2.6014701355292e-46,4.48719627209915e-18
1,1,1
1,0.999999999995331,3.31047633297426e-23
1,1.10342232904764e-33,3.71886604172863e-34
1,9.66095248962191e-18,3.89104892255878e-54
1,6.08539494685462e-27,6.30309398659209e-43
0,7.8721020729389e-18,1.07217545576927e-54
1,1,6.21652299445908e-36
0,8.86046378780584e-10,2.38265124064863e-65
1,4.1203531872511e-46,2.34063703317912e-18
1,6.92392566207575e-40,5.4352499017482e-26
0,1,1.23683821259713e-40
0,1,1
1,1,1
1,3.14857734635391e-45,2.27108233520856e-19
1,3.53348629577407e-43,6.08787545309836e-22
1,5.1408143011096e-42,1.89575696439764e-23
0,1,1
0,1,1
1,1,1
0,1,1
1,1,9.42878630765662e-40
1,0.999999999999958,8.91578302317393e-26
1,2.3354607231246e-43,1.33292494704903e-21
0,1,1
1,1.70674282594054e-06,5.70653483173165e-68
1,2.84489813532761e-22,2.24578411700992e-48
1,2.20853648692897e-38,3.97050589889661e-28
0,1,1
1,6.55118221512796e-38,1.24053433810498e-28
1,1.91885675255718e-40,1.82490219045396e-25
1,1.13324343733904e-34,1.07845471152461e-32
1,2.32528827597659e-46,7.08888209286377e-18
1,1.02689358907222e-05,2.45934532129821e-69
1,5.39071108918078e-47,4.56840848494257e-17
1,4.79333847722432e-48,9.88918627186491e-16
1,1,1
0,1,1
1,1.8836769292046e-21,4.15308585228542e-49
1,0.812035594732472,6.31001960756812e-22
0,1,1.21591262305237e-35
1,1.92577211609606e-36,2.7648956670625e-30
1,1.01749191891786e-48,6.03852013570488e-15
1,1,6.80439233445971e-100
0,1.47104706943235e-19,1.12725035971771e-52
1,8.10611054970215e-36,3.91933528836811e-31
1,1.97445447195498e-39,6.21038630579951e-27
0,0.216659036369443,1.30596253463081e-60
1,1,1
1,1.79367699951123e-50,1.12514573372944e-12
1,3.05827503185254e-48,1.46817335129314e-15
1,4.80275150645971e-40,8.90830592735646e-26
1,1,1
1,9.95323387268825e-44,2.60516516289142e-21
1,1.01412441916695e-21,1.03994626677763e-48
0,1,1
0,1.41260372582327e-24,3.94379472069186e-46
1,1.72072071625977e-26,2.89612795404544e-43
1,3.82692878684444e-35,5.12474010685437e-32
0,1.14166797590636e-12,3.28672596451817e-61
0,1,1
1,1,1
0,1,1
1,1.63849111960309e-48,4.09163770206314e-15
1,1,2.24327455032399e-80
1,1,3.85621050730309e-30
1,5.18216750907079e-38,1.92881303141586e-28
1,1,0.999996008206925
0,3.88919445374413e-16,4.24394029322791e-57
1,1.56045698691046e-13,1.86442879349661e-59
0,0.156432082548245,5.25620554871464e-65
1,1,1
1,1,2.27861970226211e-51
1,2.15189644393217e-50,7.50118401546192e-13
1,3.38143355700679e-36,7.16437233904375e-31
1,1.04936676162602e-48,7.48570491728357e-15
1,6.26752507976936e-42,2.29094799956612e-23
0,1.14607343640249e-11,1.62125165353049e-62
1,2.46710705545833e-27,6.77650242925798e-42
1,1,0.95227642578911
1,1,1
1,5.17191410348394e-37,1.0721910447637e-29
1,2.58472884808686e-43,7.96986599660407e-22
0,1,1
1,1.96800306533542e-36,6.9127924998283e-31
1,1.40084811826216e-11,8.07700304506179e-62
1,0.99682121516369,4.22273493677661e-12
0,1,1
1,0.000191492210546988,1.13317854923626e-70
1,1.10823034034824e-40,5.45342116274431e-25
1,3.88723810420043e-43,4.79304971596557e-22
1,7.50948257811984e-38,1.17188681038732e-28
0,1,1
0,1,1
1,9.25070120853675e-43,1.68484144389618e-22
1,5.4390749047673e-17,4.23916531562006e-55
1,8.55005908338446e-14,6.18073222373605e-59
1,1.64434891290565e-36,8.03720002913165e-30
1,3.33909666565065e-46,4.23392325304613e-18
1,4.32095180665532e-40,1.03185573965421e-25
1,1.26767292538292e-48,4.15093967900749e-15
1,1.109067464517e-20,1.64321597626071e-50
0,1,1
1,2.12133674368592e-49,3.97815420261622e-14
1,1.41606080961327e-49,6.9629829018423e-14
1,1,1
1,1.78546535732127e-34,5.22311941553212e-33
1,5.94276199863953e-49,1.52380708632308e-14
0,0.00662048355487612,2.79418970977519e-73
0,1,1
0,1,1
1,1,1
0,5.88503079957783e-07,3.52614188048423e-68
1,2.5957179736054e-47,1.10358262696991e-16
1,1.9588296771894e-08,9.04935675212403e-66
1,1,9.42273573485462e-95
1,1.94279505192047e-33,2.62775495916136e-34
1,9.19108670491463e-06,3.45319050343659e-68
1,1,0.99998525543547
1,1.15428492506179e-43,2.87866959844132e-21
1,2.22404024763456e-24,1.33380418619536e-45
1,8.57859048927992e-35,2.17987119507673e-32
0,1,1
0,1,1
0,0.000196476565087656,4.9135135927439e-72
0,1,1
0,1,1
1,1,0.999999999522399
1,1.5087317719998e-43,1.79090200242443e-21
0,1,6.03359769792262e-28
1,1,9.15533455077214e-31
1,7.08134150082859e-34,8.01699823955404e-34
0,2.73186699678502e-10,2.6268750159616e-64
0,8.1939167219601e-27,9.65528004254184e-44
1,1.97752513431234e-47,1.28686847615576e-16
1,3.89757641746341e-48,7.7850548688013e-16
1,3.7544763070655e-42,3.18784628663736e-23
0,1,1
1,1.79142987954883e-33,3.05024706722241e-34
1,7.27823026837642e-32,4.45024628149704e-36
1,3.1729714234584e-43,6.50917768302329e-22
1,1,1.27759341285206e-32
0,0.999999999998503,8.33590677254698e-24
0,1,1
1,2.85483630967049e-35,1.20304944223784e-31
0,9.12511529395187e-18,7.02792906444498e-55
1,7.81493428628529e-43,2.38004280573893e-22
0,1,1
1,8.43992372596238e-33,8.44709955979324e-35
1,1,0.999999998954102
1,5.1593531188819e-43,5.48072071724713e-22
1,1,1
0,1,1
0,1,1
1,1,1
1,1,1
0,1,1
0,1,1
1,1.08964763655065e-49,1.61826441219355e-13
1,1.28215721037247e-23,2.14421848591298e-46
1,9.07148711557967e-17,4.46968486165223e-55
0,1,1
1,1.50665814993498e-12,1.38101517734338e-60
1,5.14615618863036e-41,7.88998172851228e-25
1,1.27168451870392e-48,5.05337031245958e-15
1,4.28393895543421e-10,4.56645335289813e-64
1,1,1
1,1.51285253768922e-45,6.01778990385289e-19
0,1,1
1,9.02268947680506e-33,7.17717997327945e-35
0,1,1
1,2.66718177217496e-41,2.39680413502955e-24
1,2.64888567447414e-39,8.26554509365052e-27
0,1,1
1,1,1
1,1,1
0,9.59133946091059e-16,9.51157262628347e-58
1,8.750343894075e-49,9.75298757112231e-15
0,1,1
1,8.89240280178781e-15,1.91720053134828e-57
1,3.1734333363326e-47,6.66175839740995e-17
1,0.292331567026857,1.71346246065226e-55
1,6.44038727415639e-45,1.57742967894644e-19
1,4.17750795792062e-44,9.46936209065852e-21
1,1.27053886258567e-16,1.34204906237033e-55
1,1.12087770261254e-43,2.36794093616529e-21
1,1,9.45466663127118e-83
0,1,1
1,7.65481170043196e-27,1.40125516036534e-42
1,1,2.38406300209535e-50
1,2.74323164570374e-07,1.91988032852409e-67
1,7.83422503201267e-27,9.08998992523875e-43
1,1,0.999999540926597
0,1,1
1,1.32441790295325e-37,8.52104599847268e-29
1,1.48336655048609e-38,9.41978923086275e-28
0,1,1
1,1.18074097073738e-41,5.03152218925751e-24
1,1,3.38625189176018e-33
1,2.35165824664754e-44,1.62652358324191e-20
1,1.04627964215101e-43,3.51595972361809e-21
1,2.98194691142998e-40,1.0730593495829e-25
0,1,1
1,1.29136032635123e-33,8.07552317697596e-34
1,1.28292851887258e-33,5.17047683620893e-34
1,4.99308183908423e-50,2.74445514901467e-13
1,1.85479187081324e-32,1.7500414960121e-35
1,2.01123797338414e-47,1.06716980057711e-16
0,1,1
0,1,1
1,1,0.804893052120702
1,8.67060375456563e-28,3.55067528798036e-41
1,8.16441230886022e-08,7.11590986051293e-67
1,1,1
0,1,1.73080180264501e-50
1,5.51739247585121e-37,1.1061700399328e-29
1,3.47550145979646e-50,4.48887103020391e-13
1,1,1
0,1,1
0,0.00441440789256455,7.86491216549715e-73
1,4.66789338047379e-30,1.66211139713693e-38
1,1.25437600840703e-33,4.55233295134989e-34
1,7.94480623980017e-49,9.4577643215156e-15
1,1,1
0,1,1
0,1.69756567266775e-24,1.62635487998407e-46
1,1.38150905493188e-45,6.02722164978054e-19
0,1,1
1,1,1
0,1,1
0,1,1
1,6.69311165938379e-43,2.9274391908251e-22
0,1,1
1,1.48021291811168e-41,7.77449250520981e-24
1,1,1.19517842405093e-78
1,1.23165260161426e-47,1.9303834864498e-16
1,3.07915889643495e-11,5.59704762564706e-62
1,5.67564525347265e-30,1.60828163270529e-38
1,1.0762977019095e-32,4.80186788686687e-35
1,5.07851736295047e-41,1.34244818526501e-24
1,3.44741814842049e-47,9.07551342823309e-17
0,1,1
1,1,1
1,4.15407518774653e-50,3.55543512340399e-13
1,1,1
1,3.08781484510055e-45,2.24687974191424e-19
1,2.26082105910921e-39,3.80007134856634e-27
1,6.10435060739566e-31,6.33761076516183e-37
0,1,1
1,1,0.999884693804558
1,1.54126406785737e-32,8.74568553726241e-36
1,5.07002493039796e-18,1.3519909721708e-53
1,3.74580041600171e-50,3.42794980549088e-13
1,9.01919295121847e-48,3.73188944192327e-16
1,1.51435864776223e-45,5.90885873022293e-19
0,1,1
1,1,1
1,0.999999999999982,2.31673386418006e-25
1,1,0.999540941405003
0,1,1
1,7.11065236417327e-45,6.05266721048859e-20
1,6.37534413242158e-49,1.04930967324815e-14
1,1.4886302727672e-49,7.71166093941985e-14
0,1,1
0,1,1
1,0.972725532940715,1.9220362309527e-12
1,1.3801829836608e-34,4.79728164609598e-33
1,1,0.99999999864318
1,3.63830406755726e-38,5.28274848509659e-28
1,5.38299777569339e-48,8.43290451297862e-16
1,1,1
0,1,1
0,1,1
1,5.80159386733734e-46,2.07744728749062e-18
1,1,1.28552849237131e-30
1,9.84627964128273e-44,2.96389585389142e-21
0,5.73687155832692e-17,1.08487304008744e-55
1,2.3999747652469e-37,2.57259089446653e-29
0,1,1
1,5.55766663309426e-40,4.76286231916144e-26
0,1,1
1,2.40520465049277e-27,5.48775091083559e-42
1,3.15463293933022e-36,1.14877450449987e-30
1,1,1
1,7.44313581800956e-42,8.05749557198193e-24
1,0.99999999987794,5.20502069460758e-21
1,1,1
1,1.29580979933391e-40,4.40746526321944e-25
0,1,1
1,1,0.999999996316401
1,3.86382591556586e-06,5.88937306411362e-69
1,1.84494772271231e-33,3.2954321015165e-34
1,6.65192682078782e-40,4.12960940253103e-26
1,8.848021950898e-39,2.57869586082903e-27
1,1.29558238993978e-35,1.85764269221235e-31
1,1.18233920015523e-45,9.14754050940757e-19
1,2.14767973937358e-40,2.34963622981807e-25
0,1,1
1,2.35712540324871e-49,4.64307259588299e-14
1,5.51178573774231e-50,2.53330451457221e-13
1,2.46847292268109e-30,4.96967467316012e-38
1,1.26619852099317e-46,1.70307141707165e-17
0,1,1
0,4.13293431272389e-13,5.96741123312631e-61
1,1.71624437942229e-39,1.38429614947511e-26
1,1,6.08820081251854e-40
0,1,1
1,7.48164421369962e-43,1.98714474118097e-22
0,0.151769658119579,8.52196367965242e-65
1,1,0.99620371039487
0,1,1
1,1,0.999999999131878
1,1,1
1,5.04440857344201e-21,8.3800273858848e-50
0,1,1
1,2.24576254239041e-39,1.37323766829137e-26
1,3.72599595093542e-39,5.04985015252186e-27
1,9.04877049900533e-36,2.07314924165423e-31
1,2.55669628906765e-31,1.73614775045672e-36
1,2.80370426624981e-45,2.41235867730443e-19
1,2.45820843570986e-28,1.0819225484194e-40
1,1.54471062966601e-24,1.15762461207107e-45
1,7.64224168980264e-47,2.28617606665624e-17
1,3.28723573110353e-46,5.52214261246342e-18
1,1.95551800864954e-25,5.40876806515699e-44
0,1,1
1,3.38415884863016e-41,1.45896549855964e-24
1,3.98835191837345e-44,9.75584766580652e-21
