"is_test_data","Z1","Z2","Z3"
1,1.09015543610009e-08,5.5089865973754e-17,2.52145517333065e-29
1,1,4.37581482626852e-50,1
1,3.35349462693561e-13,1.60594850800654e-12,1.41913078075518e-30
1,0.999993466670802,1,2.90419527121906e-36
1,3.71847569930165e-11,4.71156465400126e-11,3.31185833396246e-40
1,0.0292541274970629,0.999999976684218,1
0,1.442224042748e-14,1,1
1,2.3312481940933e-14,1,0.999999887521561
1,0.99999968288469,1,9.11935629947313e-34
1,0.999998908208006,5.11075723427172e-22,9.94942994618857e-08
1,0.999984769692678,1,7.53811797794163e-32
0,3.6706144090608e-13,2.34819895970808e-12,1.04144170021899e-31
1,0.999999999999674,0.999999999999003,1.15169869769699e-26
0,0.999999632706574,1,2.2827958256885e-31
1,1.55814682414372e-14,1.49610872156865e-07,4.167547799822e-42
1,9.54194530008832e-15,3.42515368260083e-05,1.86810669897324e-48
1,0.340143203135046,0.999999999978194,1
1,1.33886763455766e-14,2.55394325712025e-07,3.88479654403493e-43
1,9.71678543673544e-16,0.00127353350063461,0.999975424910233
0,0.998338718084391,1,0.999999999996993
0,3.08760448632386e-13,6.46033525285751e-12,1.21568787665338e-33
0,0.999999988069709,1,1.88296352859962e-30
1,7.0925129991057e-09,1.02455002446882e-20,1.10963299222148e-17
0,0.999999994326794,1,0.999999999999998
1,1.00502306823306e-16,0.00228954503782832,1.19806147485753e-48
1,5.15738977327521e-12,1,0.999999999994932
1,1.24810358525146e-16,1,0.995260833527878
1,3.99489309945804e-16,2.10707361325245e-05,2.49022204921965e-44
1,0.000549890627212408,5.04711924149957e-24,1.66948379330378e-20
1,0.999994179891649,1.05945081224931e-13,2.39934142332598e-32
0,0.999999999971094,0.999999999999842,2.54742852969514e-24
1,3.71059521787236e-15,3.56820079862334e-06,4.97769964129763e-45
1,2.03332289240755e-07,3.32165858268563e-18,2.37247328336987e-29
0,0.999999999998431,0.999999999999687,2.7270229115759e-26
1,1.21845615751642e-13,1,0.919539565032449
1,0.999999999999297,0.999999999971237,1.72715889604126e-21
0,0.999998794613291,1,1.32400174897563e-35
0,0.999999999464564,0.999999999999998,1.04816398879035e-26
1,0.99999994426969,1,1.0507567940805e-31
1,4.85522028641005e-17,0.00335999451305933,2.65442822792208e-48
1,0.999999910736912,1,2.01530895902076e-29
0,3.00890569467425e-05,0.999999999999775,1
1,0.999997497509389,1,9.32079813676332e-37
0,8.43744478462768e-06,0.999999999999126,1
1,0.999999581110049,1,3.33003249004608e-29
1,5.23070480753886e-07,1.97298515506742e-23,1.34071479339429e-14
1,9.65716214523108e-15,6.04726103426361e-06,1.58980649825098e-46
1,0.999999610045135,1,4.81086063694196e-33
1,0.000904698727648237,3.06515140657939e-24,2.50252649362779e-20
1,2.64309792169929e-11,1,0.952815962968144
1,0.999999999999981,0.826536345409706,3.07755889407627e-13
1,0.889396598829698,1,1
