"alpha"	"sigmasq.n"	"iter"	"exclu"
10	0.8	5	1034.20320540277
10	1.2	5	1021.46887241986
10	1	5	994.757748267298
10	1.2	2	951.376884896997
10	1	2	890.956747789789
12	1.2	5	864.342566938961
12	1.2	2	857.741429787938
12	1	5	837.704198166373
12	0.8	5	817.333130675315
8	0.8	5	816.101930651383
10	1.2	1	816.00777898837
10	1.2	4	800.269544818428
10	0.8	4	792.990216163609
8	1	5	786.481988906701
8	1.2	5	783.674793028912
10	0.8	2	776.886075942153
10	1	3	771.531974477148
12	0.8	2	768.950582687249
10	1	1	763.876856749689
10	1	4	741.753603951742
10	0.8	3	699.951456909205
12	1	2	697.31180560054
10	1.2	3	686.040678428454
6	0.8	4	684.152718917256
6	1	4	665.063728356718
6	1.2	4	655.442766742081
8	1.2	4	654.405977914059
4	0.8	4	654.143906978574
12	0.8	1	621.996416848485
12	1.2	1	604.543324500701
4	0.8	2	603.297397066275
10	0.8	1	598.752824532642
4	1.2	5	589.703880333864
4	1	5	589.005385618494
8	0.8	1	587.820910112234
12	1	1	580.895804275389
8	0.8	4	571.366775923184
12	0.8	3	564.654340418277
4	0.8	5	555.387416016817
6	1.2	3	545.089100266224
8	1	4	515.333721232411
8	1	1	503.260020078731
6	1	3	482.956784359381
6	0.8	3	458.533616285298
6	1.2	2	451.857775142489
6	1	2	446.689882172817
12	1	3	404.498679138952
4	1.2	2	390.755812420583
8	0.8	2	362.759792090524
8	1	2	334.050833678944
8	0.8	3	291.443550928284
8	1.2	2	273.161277091596
4	1	4	174.701002947094
12	0.8	4	170.837616400365
12	1.2	3	132.214293682078
4	1.2	4	110.417057834272
12	1	4	104.820892163988
12	1.2	4	102.898575828387
6	0.8	5	101.085252419601
6	1	5	75.1254682095913
6	0.8	1	57.9264559065791
6	1.2	5	35.390735897295
6	1	1	27.6351348720849
4	0.8	1	7.93574932165008
8	1	3	6.97974342524484
6	1.2	1	-16.8750383191271
4	1	1	-31.0342690243356
4	0.8	3	-55.5964588940691
4	1.2	1	-87.0457449566254
8	1.2	3	-89.7733267681584
4	1	3	-119.422335885153
4	1	2	-145.167195415462
4	1.2	3	-157.350657941499
8	1.2	1	-174.316973815427
6	0.8	2	-185.878728731047
