"alpha"	"sigmasq.n"	"iter"	"exclu"
12	0.8	5	843.856194223604
10	1.2	5	835.334270677606
10	1	5	833.544427047833
10	0.8	5	831.081653266948
8	0.8	4	643.89112872347
12	1	1	631.427669240834
12	1	5	614.511971953051
8	1.2	5	612.707847052235
12	1.2	5	610.091125955718
8	1	5	607.362089695098
8	0.8	5	584.126594625839
6	0.8	4	558.470399630137
6	0.8	1	549.477560750685
6	1	4	545.974827943974
6	1	1	538.973897733022
6	1.2	1	530.252651988567
12	0.8	1	513.446837426678
10	1.2	4	508.239353999092
8	1.2	4	502.22114306885
10	1	4	501.075661040914
6	1.2	4	494.334220864717
10	0.8	4	484.300308614679
8	1	4	472.916898959189
12	1.2	1	469.143236350165
12	1	2	428.915461608087
12	0.8	2	425.181217232673
4	0.8	2	416.204390663311
4	1.2	2	400.152856436593
4	1	2	392.611600389293
12	1.2	2	347.037559768301
8	1	3	266.229926848803
8	0.8	3	252.794897845154
12	0.8	4	221.867689674793
8	1.2	2	220.700870416459
12	1	4	220.046716136745
8	1	2	216.397757598072
12	1.2	4	210.666253747343
8	0.8	2	210.497520779619
8	1.2	3	207.080973735103
10	1	1	193.48824089558
10	0.8	1	172.48394414879
10	0.8	2	158.960797118369
10	1.2	1	148.574897731177
6	1	3	148.483318741898
6	0.8	3	145.000288968903
4	0.8	5	131.195180531478
8	0.8	1	131.057771795539
4	1.2	5	125.863222922751
6	0.8	5	125.599729409569
8	1	1	121.324034664274
6	1	5	120.976038110027
6	1.2	3	115.258999653485
4	1	5	113.585156206955
8	1.2	1	100.823685008948
6	1.2	2	94.3741895024276
6	1	2	93.7736343728288
4	0.8	4	86.9538163218792
6	0.8	2	82.8135780480204
4	1	4	77.0760232835886
6	1.2	5	76.8101848527799
4	1.2	4	70.3399437219894
4	0.8	1	69.9895163114162
4	0.8	3	65.5703826634001
4	1	3	44.8286163551273
4	1.2	3	40.855713399494
10	1	3	37.1849142772918
4	1	1	34.1427758601146
4	1.2	1	29.7183506520239
10	0.8	3	17.7479469321694
10	1.2	3	4.05810920491869
12	1.2	3	-3.61291115529403
12	0.8	3	-20.0359368641524
12	1	3	-29.2836705497068
10	1	2	-145.097044191621
10	1.2	2	-186.329316951096
