"alpha"	"sigmasq.n"	"iter"	"exclu"
10	1.2	5	474.423093168699
6	1.2	2	470.426613865259
12	1.2	3	466.146669254731
10	1	5	464.890786040467
8	1.2	5	464.113712513357
12	1	3	460.842292502893
4	1.2	5	460.673299750196
12	1.2	4	458.919399185298
4	1	5	455.699921468624
4	0.8	5	454.836153099519
8	1	5	446.981519258521
8	0.8	5	446.78285981138
12	1	4	444.369545862091
10	0.8	5	443.903863437676
12	0.8	4	443.580082169353
10	1	3	443.005194658588
10	0.8	3	441.84036994902
10	1.2	3	439.721745258006
10	1.2	4	439.219685033274
8	0.8	4	438.359436876602
8	1.2	4	438.155814688113
8	1	4	437.966017808311
6	1.2	4	433.675139608253
6	1	4	431.137174300385
10	0.8	4	430.404483651136
10	1	4	429.347304101705
6	0.8	4	424.546398295673
12	0.8	5	115.000212633683
12	1	5	109.411036666658
10	0.8	2	108.790322391231
6	0.8	5	106.217399662068
12	0.8	2	105.637465036554
8	0.8	2	103.368353069451
4	0.8	2	101.63550926486
10	1	2	99.4379936704497
8	0.8	3	98.9937647181174
12	1	2	94.9910917450519
12	1.2	5	92.7447325677027
8	1	2	90.5137815100681
4	0.8	3	88.3812175235847
8	0.8	1	85.9938412126779
6	1	5	85.7538345700016
8	1	3	85.2681244549036
4	1	2	85.1395463706367
12	1.2	2	84.5181170047805
6	0.8	1	83.2212212238235
10	1.2	2	82.030763781623
4	1	3	81.0767410999761
8	1	1	80.0086921727274
6	1.2	5	79.675587076331
8	1.2	2	79.675587076331
6	1	3	78.8365423939288
6	1	1	77.9103323283261
6	1.2	3	74.8194956788173
8	1.2	1	74.606765220091
8	1.2	3	72.4600550958033
4	1.2	2	72.418912008617
4	1.2	3	71.6644590705232
6	1.2	1	67.7261531245119
6	0.8	3	67.2986546144839
4	0.8	4	56.2689004514779
4	1	4	47.7985130590691
10	0.8	1	45.574032837201
10	1	1	43.4561629824522
10	1.2	1	40.4223785794851
4	1.2	4	39.0882872131298
4	1.2	1	10.5176553224023
12	0.8	1	6.34834033014532
4	0.8	1	5.04861401800848
12	0.8	3	4.78942020712186
4	1	1	1.4319217517465
6	0.8	2	-5.79886906772869
12	1	1	-7.48848659111196
12	1.2	1	-8.5329401428903
6	1	2	-13.0404698895677
