"alpha"	"sigmasq.n"	"iter"	"exclu"
12	0.8	3	1274.29944114523
12	1.2	3	1264.7007910331
12	1	3	1253.5193199208
8	1	5	1232.67456235234
8	0.8	5	1179.37795270563
8	1.2	5	1154.29099783542
12	1.2	1	1154.14766817705
12	0.8	1	1118.96485012511
12	1	1	1115.13473732901
10	1.2	5	1017.40338605539
8	0.8	2	937.824095439592
10	0.8	3	936.88293664794
8	1	2	934.755555495766
6	0.8	4	909.227820259707
10	1	3	904.430121272603
10	1.2	3	898.433073676256
6	0.8	2	871.824514417125
6	1.2	4	867.148743041
12	1	5	829.709010855159
12	1	2	807.391134834488
6	1	2	801.576949060486
12	1.2	2	790.920202593453
6	1	5	787.347653840302
6	1.2	5	770.901204949518
10	1	2	767.119206677658
6	0.8	3	756.334755354005
12	0.8	5	751.398678203375
6	1	3	737.60685676275
12	0.8	2	733.51313777003
6	1	4	725.639826741532
12	1.2	5	709.258625146629
6	0.8	5	705.375549610968
10	1.2	2	699.623754898928
10	0.8	2	683.560265557173
4	0.8	4	638.619016380833
10	0.8	5	633.391041411829
6	1.2	2	612.197694053119
4	1	4	584.764734611519
10	1	5	584.664972035054
10	0.8	1	543.072425764664
10	1.2	1	521.941638924976
8	0.8	1	472.326928209733
12	0.8	4	469.988338113827
8	1.2	2	467.34094477629
8	1.2	4	463.669465331105
4	0.8	5	462.100467880652
8	1	1	450.325503484273
4	1.2	4	439.930304873698
10	1	1	433.020079275606
12	1	4	416.604937052047
4	1	5	408.548290890734
10	1.2	4	389.325860527129
12	1.2	4	388.525250329703
10	0.8	4	384.880469681736
8	1.2	1	356.896065486022
4	1	2	355.116169430072
10	1	4	344.744215564946
4	0.8	2	340.371358175825
8	0.8	4	307.411301105296
4	1.2	2	297.632921332216
8	1	4	250.620761564097
4	1.2	5	238.24934611881
4	0.8	3	5.25227907686314
4	1	3	-55.4817105681018
8	1	3	-70.8063889276331
4	1.2	3	-76.7232535141284
8	0.8	3	-76.7270075032454
6	0.8	1	-85.8205270638432
4	0.8	1	-88.0195736980898
8	1.2	3	-129.972471570357
4	1	1	-135.207130133396
4	1.2	1	-169.068920702462
6	1.2	3	-207.084990595909
6	1	1	-212.285337866097
6	1.2	1	-215.084815030401
